0 train f1,0 val f1,1 train f1,1 val f1,2 train f1,2 val f1,3 train f1,3 val f1,epoch,step
,0.7197039723396301,,0.6251729130744934,,0.8251748085021973,,0.8190476298332214,0,172
0.5694323182106018,,0.6062420010566711,,0.7395833134651184,,0.6640926599502563,,0,172
,0.7977795600891113,,0.5856353640556335,,0.7947019934654236,,0.886956512928009,1,345
0.6414141654968262,,0.6520806550979614,,0.8746802806854248,,0.9006211161613464,,1,345
,0.5628604292869568,,0.6404371857643127,,0.8027210831642151,,0.8598130941390991,2,518
0.6776723265647888,,0.658884584903717,,0.8826530575752258,,0.9057750701904297,,2,518
,0.8060897588729858,,0.6404109597206116,,0.8194444179534912,,0.8947368264198303,3,691
0.6793731451034546,,0.6787673830986023,,0.8849104642868042,,0.9365558624267578,,3,691
,0.678787887096405,,0.6566037535667419,,0.8345323801040649,,0.9016393423080444,4,864
0.6948941349983215,,0.687979519367218,,0.8969072103500366,,0.9429429173469543,,4,864
,0.6459892988204956,,0.6602409482002258,,0.8108108043670654,,0.8947368264198303,5,1037
0.7018992304801941,,0.68714839220047,,0.8810126781463623,,0.9341317415237427,,5,1037
,0.7811965942382812,,0.6424870491027832,,0.8345323801040649,,0.8983050584793091,6,1210
0.6886477470397949,,0.6963906288146973,,0.8951406478881836,,0.9498525261878967,,6,1210
,0.7527272701263428,,0.6824925541877747,,0.8053691387176514,,0.9090909361839294,7,1383
0.6981366276741028,,0.6885812878608704,,0.905370831489563,,0.9585798978805542,,7,1383
,0.7141463160514832,,0.6793997287750244,,0.8163265585899353,,0.9120000004768372,8,1556
0.7081966996192932,,0.694372296333313,,0.9058524370193481,,0.9486404657363892,,8,1556
,0.7653880715370178,,0.6844319701194763,,0.818791925907135,,0.9059829115867615,9,1729
0.7086092829704285,,0.6994394063949585,,0.8989899158477783,,0.9467455744743347,,9,1729
,0.7365438938140869,,0.6773722767829895,,0.8219178318977356,,0.8648648858070374,10,1902
0.7181817889213562,,0.7080479264259338,,0.9175257682800293,,0.9644970297813416,,10,1902
,0.7586206793785095,,0.6910688281059265,,0.8275862336158752,,0.9090909361839294,11,2075
0.7219712734222412,,0.7030981183052063,,0.9278350472450256,,0.9647058844566345,,11,2075
,0.7555555701255798,,0.6881405711174011,,0.8309859037399292,,0.9059829115867615,12,2248
0.718222975730896,,0.6902502179145813,,0.913705587387085,,0.9616519212722778,,12,2248
,0.7220077514648438,,0.6710354089736938,,0.8405796885490417,,0.9090909361839294,13,2421
0.7110747694969177,,0.7045650482177734,,0.9357326626777649,,0.9732937812805176,,13,2421
,0.7141444087028503,,0.6549295783042908,,0.8391608595848083,,0.8965517282485962,14,2594
0.7192403078079224,,0.7115135788917542,,0.9156010150909424,,0.9675516486167908,,14,2594
,0.7492957711219788,,0.6781914830207825,,0.8510638475418091,,0.9059829115867615,15,2767
0.7203947305679321,,0.7137930989265442,,0.9316455721855164,,0.9792284965515137,,15,2767
,0.7732610702514648,,0.6940509676933289,,0.8391608595848083,,0.8947368264198303,16,2940
0.7192766070365906,,0.7184963822364807,,0.9316455721855164,,0.9675516486167908,,16,2940
,0.5990888476371765,,0.6592920422554016,,0.8219178318977356,,0.9152542352676392,17,3113
0.7158154845237732,,0.7061346769332886,,0.9265822768211365,,0.9792284965515137,,17,3113
,0.716269850730896,,0.6772908568382263,,0.8333333134651184,,0.9090909361839294,18,3286
0.7200000286102295,,0.7208208441734314,,0.9336734414100647,,0.9851632118225098,,18,3286
,0.7843137383460999,,0.6823161244392395,,0.8219178318977356,,0.8947368264198303,19,3459
0.7107843160629272,,0.7016788721084595,,0.9316455721855164,,0.9764705896377563,,19,3459
,0.7483506202697754,,0.692307710647583,,0.8428571224212646,,0.8965517282485962,20,3632
0.7357640266418457,,0.7183219194412231,,0.93638676404953,,0.9794721603393555,,20,3632
,0.7676767706871033,,0.6858572959899902,,0.818791925907135,,0.9059829115867615,21,3805
0.7292863130569458,,0.7163150906562805,,0.9417721629142761,,0.9882352948188782,,21,3805
,0.7045685052871704,,0.6783042550086975,,0.8219178318977356,,0.8849557638168335,22,3978
0.7391480803489685,,0.7224400639533997,,0.9414758086204529,,0.9882352948188782,,22,3978
,0.6515641808509827,,0.6753554344177246,,0.8333333134651184,,0.9075630307197571,23,4151
0.7323253154754639,,0.7200689315795898,,0.9336734414100647,,0.9881656765937805,,23,4151
,0.7823788523674011,,0.6989409923553467,,0.8510638475418091,,0.9059829115867615,24,4324
0.7332242131233215,,0.7222222089767456,,0.9414758086204529,,0.98525071144104,,24,4324
,0.7867383360862732,,0.6970587968826294,,0.8333333134651184,,0.9090909361839294,25,4497
0.7399836182594299,,0.7286888957023621,,0.9390863180160522,,0.976331353187561,,25,4497
,0.7490565776824951,,0.6844919919967651,,0.8391608595848083,,0.9075630307197571,26,4670
0.7436001896858215,,0.718925952911377,,0.946835458278656,,0.9764705896377563,,26,4670
,0.6751055121421814,,0.6720741391181946,,0.8299319744110107,,0.8983050584793091,27,4843
0.742158830165863,,0.7293103337287903,,0.9417721629142761,,0.9881656765937805,,27,4843
,0.6558441519737244,,0.6666666865348816,,0.8450704216957092,,0.8983050584793091,28,5016
0.7498983144760132,,0.7349397540092468,,0.9497487545013428,,0.9912023544311523,,28,5016
,0.7857142686843872,,0.6858006119728088,,0.8333333134651184,,0.9075630307197571,29,5189
0.7296066284179688,,0.7256486415863037,,0.9340101480484009,,0.9824561476707458,,29,5189
,0.6940451860427856,,0.6761229038238525,,0.8391608595848083,,0.8648648858070374,30,5362
0.7401061058044434,,0.7270374894142151,,0.9518987536430359,,0.9941520690917969,,30,5362
,0.6723768711090088,,0.6485355496406555,,0.8413792848587036,,0.8983050584793091,31,5535
0.7450183033943176,,0.7259387373924255,,0.9489796161651611,,0.9941176176071167,,31,5535
,0.8123980164527893,,0.6587837934494019,,0.8260869383811951,,0.8983050584793091,32,5708
0.7394337058067322,,0.7311643958091736,,0.9521410465240479,,0.991150438785553,,32,5708
,0.8103592395782471,,0.6882715821266174,,0.8333333134651184,,0.8983050584793091,33,5881
0.7423868179321289,,0.7303082346916199,,0.9521410465240479,,0.9970674514770508,,33,5881
